,WQ,nvar,var,random_state,r2,rmse,mae,smape,r2_test,rmse_test,mae_test,smape_test
3,Chla,6,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B8A_3', 'NR_B2B3', 'B2']",1,0.6858054995536804,4.570086120695076,2.6730620642839855,0.852104445599983,0.1769355833530426,2.43574408087107,1.9693034543829449,0.7385666966961926
4,Chla,6,"['TB_B2B3B4', 'LH_B3B4B5', 'B8A_3', 'LH_B1B2B3', 'NR_B2B3', 'B2']",1,0.46529045701026917,3.5642682898113436,2.358345163474649,0.7956719032463657,0.5007630586624146,3.4606221299432653,1.8165130065659347,0.5314186807318121
0,Chla,7,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B11_3', 'B12_3', 'NR_B2B3', 'B11_2']",1,0.6931260824203491,7.159247029362705,3.559931023646209,0.9483375750901347,0.11226985603570938,3.0757983733649454,2.323327696525445,0.7909733673953846
1,Chla,7,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B12_3', 'B11_2', 'NR_B12B2', 'B12_2']",1,0.2758163809776306,3.56203772910317,2.4073224722328836,0.8128065522472001,0.7369926571846008,4.722702955851235,3.061014362108909,0.9091118385230591
2,Chla,7,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B11_2', 'B8A_3', 'B8A_2', 'B12_3']",1,0.49572861194610596,4.27120413388911,2.8180510019851943,0.8747662864518074,0.6311548948287964,4.887768199799516,3.701240194449991,1.0191455187572291
3,Chla,7,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B8A_3', 'NR_B2B3', 'B2', 'LH_B1B2B3']",1,0.49262043833732605,3.967130964354032,2.6115028898594743,0.8437860192196394,0.16623179614543915,2.46472933005955,2.013648693440324,0.737850918432614
4,Chla,7,"['TB_B2B3B4', 'LH_B3B4B5', 'B8A_3', 'LH_B1B2B3', 'NR_B2B3', 'B2', 'LH_B7B8AB11']",1,0.3744314908981323,3.241117623285681,2.316234165288634,0.7957319721718804,0.6595962047576904,3.9754702483781195,1.93660048064539,0.5412351726153104
0,Chla,8,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B11_3', 'B12_3', 'NR_B2B3', 'B11_2', 'B12_2']",1,0.6402906775474548,6.947502690290324,3.4977233894800737,0.9415567277045994,0.12761065363883972,3.088369657490807,2.32999683396291,0.792726496363685
1,Chla,8,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B12_3', 'B11_2', 'NR_B12B2', 'B12_2', 'LH_B7B8AB11']",1,0.25934037566185,3.4308459269750236,2.44383115566383,0.8216707643334642,0.5778889060020447,4.6917695583295185,2.992294627529079,0.9090416171751338
2,Chla,8,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B11_2', 'B8A_3', 'B8A_2', 'B12_3', 'B12_2']",1,0.46257510781288147,4.210563086851805,2.800293581633918,0.8727936482526586,0.8594518303871155,5.661277590035514,4.059971682500032,1.0340809929366994
3,Chla,8,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B8A_3', 'NR_B2B3', 'B2', 'LH_B1B2B3', 'B4_3']",1,0.6474307179450989,4.49256094542223,2.5751728876162385,0.8321930123366528,0.15328261256217957,2.3811296426769033,1.9360510413929568,0.7274057120720445
4,Chla,8,"['TB_B2B3B4', 'LH_B3B4B5', 'B8A_3', 'LH_B1B2B3', 'NR_B2B3', 'B2', 'LH_B7B8AB11', 'B8A_2']",1,0.3723769187927246,3.2412662317003,2.3008383681410454,0.7911711612909582,0.7307496070861816,4.150660552722973,1.9758302219843462,0.5422634960943674
0,Chla,9,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B11_3', 'B12_3', 'NR_B2B3', 'B11_2', 'B12_2', 'B8A_3']",1,0.7816541194915771,7.614282471469059,3.6760996923608293,0.9565181145810783,0.1307002753019333,3.087444347541634,2.328698669045659,0.7924321252030437
