Date,Chla_Actual,Chla_Predicted,SS_Actual,SS_Predicted,Tur_Actual,Tur_Predicted
2018-04-05,2.8,7.317043885497164,4.5,10.664667029169305,15.5,5.177031937958131
2018-04-05,0.4,5.847448302978269,7.3,10.747260392847949,3.9,4.902070262345241
2018-04-05,1.1,6.319584941899757,6.9,10.244315391774578,2.9,4.111299435028249
2018-04-05,0.3,5.758221686346117,6.7,10.593577196996492,4.0,4.8110876838813725
2018-04-05,0.3,3.5666497573704214,7.5,10.64117729150723,4.9,4.111299435028249
2018-04-10,0.4,4.239690317950281,7.6,10.401954806408789,4.0,4.111299435028249
2018-04-10,1.2,3.1983050847457624,7.1,10.322945175393201,3.5,4.111299435028249
2018-04-10,0.7,3.475293842462804,8.9,9.328036421106216,4.3,4.111299435028249
2018-04-10,0.4,3.1983050847457624,6.9,10.58664369070459,3.3,4.111299435028249
2018-04-10,0.9,3.1983050847457624,6.6,10.496569573690973,0.3,4.17161141658188
2018-05-15,0.9,3.1983050847457624,6.6,9.96754087729232,0.6,4.111299435028249
2018-08-08,1.6,4.305133822158469,4.8,11.049275747210398,3.3,4.962464096760326
2018-08-08,0.5,3.1983050847457624,6.8,10.381712783640785,2.7,4.111299435028249
2018-08-08,0.9,3.1983050847457624,7.0,10.987138106058712,2.7,4.624211703607123
2018-10-02,1.1,3.1983050847457624,6.9,10.761867992860193,2.2,4.388113039996223
2018-10-02,1.0,3.1983050847457624,5.6,10.633983303267254,4.2,4.287084734256512
2018-10-02,0.8,3.1983050847457624,6.4,10.498884384319297,2.9,4.111299435028249
2018-10-02,0.7,3.1983050847457624,6.7,11.21745075204673,3.7,5.523774826180709
2018-10-07,1.8,3.2848281812559237,5.4,10.290252450195858,1.9,4.111299435028249
2018-10-07,0.8,3.1983050847457624,7.8,11.148555960075925,5.0,5.874802290064983
2018-10-07,1.7,3.1983050847457624,5.6,10.506504720749135,4.8,4.111299435028249
2018-10-07,0.9,3.1983050847457624,5.9,10.902316191701715,4.4,5.22587756496472
2018-10-07,1.0,3.1983050847457624,6.4,10.854467276706773,6.0,4.9940770144042474
2018-10-22,1.0,3.1983050847457624,6.9,10.90780649675824,5.7,5.224643292829902
2018-10-22,1.0,3.1983050847457624,6.8,10.617683624949258,4.8,4.2631743938940225
2018-10-22,1.7,3.1983050847457624,4.6,10.443690007022955,3.9,4.111299435028249
2018-10-22,1.1,2.9639830508474576,7.1,7.528909467376451,5.5,4.556465846761387
2018-10-22,0.9,2.9639830508474576,5.2,7.11042093661154,8.6,4.232627118644067
2018-10-22,0.9,2.9639830508474576,9.2,6.559668329609129,6.9,4.232627118644067
2018-11-06,1.0,2.9639830508474576,6.0,7.155910813547775,5.2,4.232627118644067
2018-11-06,1.0,2.9639830508474576,7.7,6.818366903369821,6.7,4.232627118644067
2018-11-06,0.9,2.9639830508474576,4.9,7.073863046311968,5.1,4.263447759905076
2018-11-06,0.8,2.9639830508474576,4.6,6.393220338983051,4.8,4.232627118644067
2018-11-06,1.0,2.9639830508474576,5.2,7.481661599278481,4.6,4.312831605059926
2018-11-06,6.8,7.181634496869852,52.0,8.830914875825412,24.1,8.805721140517175
2018-11-06,4.0,6.797404002643729,21.0,8.848385246253557,16.1,8.80004925391631
2018-11-06,1.1,5.058783721766186,11.0,8.472402805296806,7.9,7.0430606372650715
2018-11-06,2.6,5.493560594404226,12.0,8.473085903663321,9.1,7.194690189530487
2018-11-06,0.9,2.9639830508474576,7.9,7.6360782566937395,6.5,4.917345239257666
2018-11-06,3.7,4.8276160163714605,14.0,6.4186984990668865,2.8,4.885292509364879
2018-11-21,2.8,3.427954301861163,13.0,6.393220338983051,2.3,4.232627118644067
2018-11-21,2.1,3.3485743636912675,9.3,6.393220338983051,1.8,4.232627118644067
2018-11-21,1.5,2.9639830508474576,2.6,6.393220338983051,4.6,4.232627118644067
2018-11-21,5.3,4.139736821714678,10.0,6.393220338983051,2.4,4.239130075193896
2018-11-21,10.0,3.457760439614486,4.4,6.393220338983051,4.1,4.407245381153927
2018-11-21,8.9,3.2716125005992396,6.0,6.393220338983051,3.6,4.834523334718913
2019-04-05,9.4,3.270275272093678,4.3,6.393220338983051,3.1,4.489907166154592
2019-04-05,10.0,2.9639830508474576,5.6,7.30937237776168,3.6,4.854900026665586
2019-04-05,4.4,2.9639830508474576,3.6,6.393220338983051,3.6,4.232627118644067
2019-04-05,7.3,3.1166254648827834,3.9,6.393220338983051,3.1,4.232627118644067
2019-04-25,1.4,2.9639830508474576,8.4,6.393220338983051,2.3,4.232627118644067
2019-04-25,1.2,2.9639830508474576,7.9,6.393220338983051,2.3,4.232627118644067
