,WQ,nvar,var,random_state,best_layer,best_alpha,best_score,r2,adjusted_r2,corr_model,rmse,mae,smape,r2_test,corr_test,rmse_test,mae_test,smape_test
2,SS,9,"['LH_B5B6B7', 'Image_Year', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B5', 'B4_2', 'B4', 'B3_2']",1,8,0.01,-0.21789978526017428,0.5636280784560034,0.5401110287919557,0.7908132919404766,3.695453151730809,2.676549422475495,0.4881838594001245,-0.4695205988371318,0.2772646514204211,5.589469415791901,4.858303493625324,0.5648878453845886
3,SS,9,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B3_2', 'B5_3', 'B3', 'B3_3', 'B4', 'B4_2']",1,5,1e-06,-0.48695173404675085,0.21698240696486304,0.18580029042806556,0.5581196211967767,4.439571407267838,3.0017009651244106,0.49376795601958434,0.1572153822579786,0.6246696834900021,6.366002287407149,3.3653011203880205,0.46553906820253904
4,SS,9,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B4_2', 'B4_3', 'B5', 'B4', 'B3_2']",1,5,1e-06,-0.3259917498753692,0.222758314559787,0.1982138402827277,0.5595405790002443,4.835540873461289,3.1090072037315095,0.4916245758577774,0.12742038217620832,0.641769406353772,5.322792808117611,4.659300097374483,0.8790414708064508
0,SS,10,"['Image_Year', 'LH_B7B8AB11', 'NR_B12B4', 'TB_B1B2B3', 'NR_B12B5', 'NR_B12B7', 'NR_B12B6', 'TB_B4B5B6', 'NR_B12B8A', 'NR_B12B3']",1,5,0.01,-2.6563043438246563,0.028010398563124705,-0.17448743506955755,-0.09255861470247577,2.4319506633534296,2.125087903511261,0.6461977574632298,-0.6502735309948693,-1.5079654654957292e-16,2.3947929005414577,1.8626544096523987,0.40507023402157305
1,SS,10,"['B3_2', 'Image_Year', 'B3_3', 'B2_3', 'B1_3', 'B2_2', 'B3', 'B1_2', 'LH_B5B6B7', 'B2']",1,5,1e-06,-0.04797894748872622,0.035884255790587516,-0.05422001936917065,3.052590777703258e-16,2.342465627686284,1.9936799770180984,0.5188962323071733,-0.8732977876031232,,8.361322950830099,5.708029301924735,0.6817601578802833
2,SS,10,"['LH_B5B6B7', 'Image_Year', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B5', 'B4_2', 'B4', 'B3_2', 'B3']",1,2,1e-06,-0.02935789765095611,0.44532445663506115,0.41191026727572744,0.7494023016427117,4.057377047003135,2.6803188778215636,0.48418333725958207,-0.18562330523336756,0.2456738797346876,5.020605630467642,4.067287974218386,0.5029004817304495
3,SS,10,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B3_2', 'B5_3', 'B3', 'B3_3', 'B4', 'B4_2', 'B5']",1,10,0.09999999999999999,-0.5727187004678049,0.2582926626454739,0.22532789209638382,0.5842031274034977,4.309822133392298,3.028220440167674,0.49751896452086436,0.17579645657935117,0.5668163360346928,6.246685089527071,3.4036295073571843,0.4716564639920825
4,SS,10,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B4_2', 'B4_3', 'B5', 'B4', 'B3_2', 'B3_3']",1,10,1e-06,-0.21347288519570248,0.3058920442258102,0.2814516232478458,0.6081232708980269,4.579949003562728,3.160395283204076,0.49994816409198056,0.11496095195164713,0.5977585105934329,5.2888699521134255,4.74196281000052,0.8886373646140712
0,SS,11,"['Image_Year', 'LH_B7B8AB11', 'NR_B12B4', 'TB_B1B2B3', 'NR_B12B5', 'NR_B12B7', 'NR_B12B6', 'TB_B4B5B6', 'NR_B12B8A', 'NR_B12B3', 'NR_B12B2']",1,5,1e-06,-1.0648363703266708,0.4831523691899652,0.3621880300642124,0.6249313718188889,2.1656463184038057,1.874110339523691,0.5871946081131325,-0.873602716472363,-0.28690539423435674,2.3966704915646986,1.8966227066083785,0.40920832492142695
1,SS,11,"['B3_2', 'Image_Year', 'B3_3', 'B2_3', 'B1_3', 'B2_2', 'B3', 'B1_2', 'LH_B5B6B7', 'B2', 'LH_B2B3B4']",1,6,1e-06,-0.03676457554152039,0.2061342773184297,0.12375198534204035,0.4764498418544786,2.169419689228644,1.8529917319623967,0.4908737813828695,-0.6032354148876018,0.5605121290600564,7.881478384577914,5.337900889783087,0.6211706393819669
