,WQ,nvar,var,random_state,r2,rmse,mae,smape,r2_test,rmse_test,mae_test,smape_test
4,Chla,11,"['TB_B2B3B4', 'LH_B3B4B5', 'B8A_3', 'LH_B1B2B3', 'NR_B2B3', 'B2', 'LH_B7B8AB11', 'B8A_2', 'B2_2', 'B4_3', 'B1']",1,0.3930398225784302,0.6717473109042976,0.48282566518909686,1.7919909333234993,0.5966895222663879,0.7579242014438496,0.3937071818700306,1.8950072779442697
0,Chla,12,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B11_3', 'B12_3', 'NR_B2B3', 'B11_2', 'B12_2', 'B8A_3', 'NR_B2B4', 'NR_B2B5', 'B4_2']",1,2.502189874649048,1.5919042140463509,0.6745839733434711,1.9505875887424426,0.42547154426574707,0.6293021772386729,0.4458034124814998,1.9851808624445464
1,Chla,12,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B12_3', 'B11_2', 'NR_B12B2', 'B12_2', 'LH_B7B8AB11', 'NR_B1B12', 'B8A_3', 'NR_B1B7', 'B8A_2']",1,0.2699006199836731,0.5557551605723846,0.4307171231517475,1.94241932351429,1.2042490243911743,1.0175718936683098,0.6313009552748178,1.926515922326944
2,Chla,12,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B11_2', 'B8A_3', 'B8A_2', 'B12_3', 'B12_2', 'B11', 'NR_B12B2', 'LH_B7B8AB11', 'B4_3']",1,0.6577430367469788,0.8071381423738822,0.5232939467665977,1.9333672977947403,0.5514916777610779,0.7698289179411532,0.5608521109052488,1.9601380601123632
3,Chla,12,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B8A_3', 'NR_B2B3', 'B2', 'LH_B1B2B3', 'B4_3', 'B8A_2', 'B2_2', 'B11_2', 'B1']",1,0.7426193952560425,0.8861563602979629,0.5684700043073075,1.7769771423773741,0.19599470496177673,0.490762624949038,0.3974994439397603,1.837974986222494
4,Chla,12,"['TB_B2B3B4', 'LH_B3B4B5', 'B8A_3', 'LH_B1B2B3', 'NR_B2B3', 'B2', 'LH_B7B8AB11', 'B8A_2', 'B2_2', 'B4_3', 'B1', 'B11_2']",1,0.3982299864292145,0.6762903002877558,0.475284597683264,1.7964691734298435,0.671006441116333,0.8088174641264994,0.4026039541978084,1.880352446700021
0,SS,4,"['Image_Year', 'LH_B7B8AB11', 'NR_B12B4', 'TB_B1B2B3']",1,0.11951310932636261,0.6630654037805909,0.5651570898789013,2.0,0.18090492486953735,0.4741548006989537,0.41022394008452984,2.0
1,SS,4,"['B3_2', 'Image_Year', 'B3_3', 'B2_3']",1,0.1608026772737503,0.5764019885100079,0.48769051498171556,2.0,2.027712821960449,1.332598445246087,0.8023497259276295,2.0
2,SS,4,"['LH_B5B6B7', 'Image_Year', 'LH_B4B5B6', 'B5_2']",1,0.4143158793449402,0.7471874265690968,0.5335322511829353,1.792528087462659,0.4366895258426666,0.6613585104172767,0.4645111568824545,1.192041780107543
3,SS,4,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B3_2']",1,0.4340648651123047,0.6918213473998893,0.5404375369982335,1.7205481321248872,0.8170202374458313,0.8995057189280055,0.5985079527696593,1.7508354096480727
4,SS,4,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B5_3']",1,0.4167867600917816,0.6839553901571983,0.5311440926852092,1.7231276192562204,0.854231595993042,0.9655561374484206,0.8670286651862396,1.9089909122155142
0,SS,5,"['Image_Year', 'LH_B7B8AB11', 'NR_B12B4', 'TB_B1B2B3', 'NR_B12B5']",1,0.11697596311569214,0.6630654037805909,0.5651570898789013,2.0,0.17699110507965088,0.4741548006989537,0.41022394008452984,2.0
1,SS,5,"['B3_2', 'Image_Year', 'B3_3', 'B2_3', 'B1_3']",1,0.14518435299396515,0.5764019885100079,0.48769051498171556,2.0,2.036437511444092,1.332598445246087,0.8023497259276295,2.0
2,SS,5,"['LH_B5B6B7', 'Image_Year', 'LH_B4B5B6', 'B5_2', 'B5_3']",1,0.38173291087150574,0.7216098210252025,0.5262291495825384,1.7947859937539004,0.36689895391464233,0.6086068966495584,0.453035167382624,1.3404134662609433
3,SS,5,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B3_2', 'B5_3']",1,0.4427546560764313,0.7007705053863738,0.5452445690709047,1.7220062247377292,0.7976441383361816,0.8901395748281651,0.5990091802282194,1.760487619125591
4,SS,5,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B4_2']",1,0.40999364852905273,0.6809332594817641,0.5339915356274373,1.708617634337494,0.8981321454048157,0.9828701529258482,0.8797886677942559,1.9114568525359108
0,SS,6,"['Image_Year', 'LH_B7B8AB11', 'NR_B12B4', 'TB_B1B2B3', 'NR_B12B5', 'NR_B12B7']",1,0.12043885141611099,0.6630654037805909,0.5651570898789013,2.0,0.17331616580486298,0.4741548006989537,0.41022394008452984,2.0
1,SS,6,"['B3_2', 'Image_Year', 'B3_3', 'B2_3', 'B1_3', 'B2_2']",1,0.17054857313632965,0.5764019885100079,0.48769051498171556,2.0,2.0388126373291016,1.332598445246087,0.8023497259276295,2.0
2,SS,6,"['LH_B5B6B7', 'Image_Year', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B5']",1,0.3640132546424866,0.7089514523834992,0.5256712652094533,1.7984438730906533,0.3709445297718048,0.6092753449638495,0.43129374438148477,1.3058481621321174
3,SS,6,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B3_2', 'B5_3', 'B3']",1,0.435129314661026,0.6938236571397274,0.5441260255388088,1.7172390224739134,0.822418212890625,0.904693001345004,0.608505359112689,1.7456053582036986
